name	x	y	z	impedance
REF	0.003199999999999988	-0.009999999999999962	0.1678	n/a
1	0.05809999999999999	-0.08110000000000001	0.0094	n/a
2	0.08119999999999999	-0.07540000000000001	0.0439	n/a
3	0.0941	-0.0558	0.07870000000000001	n/a
4	0.08219999999999998	-0.0438	0.1031	n/a
5	0.0691	-0.02160000000000001	0.129	n/a
6	0.04690000000000005	-0.004000000000000004	0.1443	n/a
7	0.02060000000000001	0.01190000000000001	0.1552	n/a
8	0.09169999999999998	-0.0598	0.0199	n/a
9	0.1102	-0.04	0.04979999999999999	n/a
10	0.1056	-0.02550000000000001	0.0752	n/a
11	0.09290000000000001	0.0026	0.1056	n/a
12	0.06660000000000001	0.018	0.1256	n/a
13	0.03919999999999999	0.02889999999999999	0.1397	n/a
14	0.1094	-0.0215	0.02230000000000001	n/a
15	0.1125	0.0021	0.0446	n/a
16	0.1059	0.0016	0.0737	n/a
17	0.105	-0.001900000000000001	-0.0007999999999999999	n/a
18	0.1007	0.02879999999999999	0.07300000000000001	n/a
19	0.08040000000000001	0.0411	0.09610000000000001	n/a
20	0.05460000000000001	0.0513	0.1135	n/a
21	0.108	0.0194	0.0195	n/a
22	0.103	0.0476	0.0437	n/a
23	0.0863	0.0617	0.06890000000000002	n/a
24	0.0653	0.0641	0.09150000000000001	n/a
25	0.08749999999999999	0.072	0.0109	n/a
26	0.07340000000000001	0.0825	0.0328	n/a
27	0.0635	0.08559999999999998	0.0659	n/a
28	0.0504	0.08030000000000001	0.09189999999999998	n/a
29	0.03780000000000001	0.06440000000000001	0.1161	n/a
30	0.02410000000000001	0.04780000000000001	0.1363	n/a
31	0.007300000000000001	0.0226	0.1532	n/a
32	0.05099999999999999	0.08210000000000001	0.0016	n/a
33	0.03650000000000001	0.0893	0.03180000000000001	n/a
34	0.03160000000000001	0.09080000000000001	0.065	n/a
35	0.02129999999999999	0.08600000000000002	0.09569999999999998	n/a
36	0.01100000000000001	0.07159999999999998	0.1222	n/a
37	-0.005500000000000007	0.04649999999999999	0.1453	n/a
38	0.02570000000000002	0.08759999999999998	-0.0048	n/a
39	0.0066	0.0931	0.03240000000000001	n/a
40	-0.0003999999999999873	0.0935	0.06950000000000001	n/a
41	-0.007500000000000017	0.088	0.0988	n/a
42	-0.02170000000000001	0.07349999999999998	0.1228	n/a
43	0.008600000000000004	0.08370000000000002	-0.0247	n/a
44	0.001799999999999994	0.0887	-0.0007000000000000001	n/a
45	-0.02790000000000004	0.08829999999999999	0.0392	n/a
46	-0.02509999999999999	0.08880000000000002	0.07430000000000001	n/a
47	-0.03209999999999998	0.08179999999999998	0.09810000000000002	n/a
48	0.005299999999999974	0.0786	-0.05640000000000001	n/a
49	-0.01780000000000001	0.0796	-0.0281	n/a
50	-0.04760000000000004	0.08079999999999997	0.04920000000000001	n/a
51	-0.05199999999999998	0.07560000000000001	0.08730000000000002	n/a
52	-0.04969999999999998	0.06409999999999999	0.1138	n/a
53	-0.03879999999999999	0.04569999999999996	0.1391	n/a
54	-0.03019999999999999	0.0198	0.1552	n/a
55	-0.009300000000000003	-0.009200000000000012	0.1623	n/a
56	-0.054	0.0657	-0.0131	n/a
57	-0.0565	0.07260000000000001	0.0206	n/a
58	-0.07089999999999998	0.06460000000000001	0.0593	n/a
59	-0.07289999999999999	0.05660000000000001	0.0934	n/a
60	-0.06659999999999999	0.0375	0.125	n/a
61	-0.05460000000000002	0.01610000000000002	0.1453	n/a
62	-0.06999999999999999	-0.0216	0.1453	n/a
63	-0.07299999999999998	0.04910000000000001	-0.0057	n/a
64	-0.0815	0.05350000000000001	0.0269	n/a
65	-0.08789999999999999	0.04280000000000001	0.06199999999999999	n/a
66	-0.08809999999999998	0.03040000000000001	0.1026	n/a
67	-0.0805	0.005900000000000009	0.1291	n/a
68	-0.09329999999999999	0.02839999999999997	0.0044	n/a
69	-0.09889999999999999	0.02640000000000001	0.03180000000000001	n/a
70	-0.1036	0.01199999999999999	0.06860000000000002	n/a
71	-0.09879999999999999	-0.003199999999999995	0.1071	n/a
72	-0.08689999999999999	-0.0208	0.1265	n/a
73	-0.1027	0.003200000000000023	0.0053	n/a
74	-0.1072	-0.008900000000000003	0.0398	n/a
75	-0.106	-0.02350000000000001	0.07420000000000002	n/a
76	-0.09510000000000002	-0.0391	0.1097	n/a
77	-0.07720000000000001	-0.04569999999999998	0.1299	n/a
78	-0.0495	-0.04790000000000001	0.1483	n/a
79	-0.02570000000000001	-0.04739999999999999	0.1536	n/a
80	0.0112	-0.0384	0.1543	n/a
81	-0.1035	-0.02239999999999999	0.0108	n/a
82	-0.1029	-0.0393	0.0383	n/a
83	-0.09719999999999998	-0.05489999999999998	0.07069999999999999	n/a
84	-0.08100000000000002	-0.06839999999999999	0.1037	n/a
85	-0.05940000000000002	-0.07389999999999999	0.1261	n/a
86	-0.03330000000000003	-0.07329999999999999	0.1369	n/a
87	0.001000000000000005	-0.06459999999999998	0.1455	n/a
88	-0.09719999999999997	-0.04530000000000006	0.006	n/a
89	-0.09069999999999999	-0.0672	0.0348	n/a
90	-0.08120000000000001	-0.0783	0.07000000000000001	n/a
91	-0.06500000000000002	-0.08719999999999999	0.0968	n/a
92	-0.03730000000000001	-0.0951	0.1153	n/a
93	-0.01890000000000003	-0.09419999999999999	0.1317	n/a
94	-0.09339999999999997	-0.06820000000000004	0.007400000000000002	n/a
95	-0.07709999999999996	-0.08590000000000003	0.03450000000000001	n/a
96	-0.06559999999999999	-0.09490000000000001	0.0662	n/a
97	-0.04550000000000002	-0.1015	0.08939999999999999	n/a
98	-0.02440000000000002	-0.1064	0.1046	n/a
99	-0.0658	-0.0823	0.0011	n/a
100	-0.0472	-0.0972	0.0253	n/a
101	-0.04280000000000003	-0.1016	0.0556	n/a
102	-0.01810000000000001	-0.1078	0.0796	n/a
103	-0.001400000000000019	-0.1026	0.1086	n/a
104	0.01220000000000001	-0.08349999999999998	0.1274	n/a
105	0.0232	-0.0589	0.1434	n/a
106	0.02969999999999999	-0.0255	0.1534	n/a
107	-0.04359999999999999	-0.08990000000000001	-0.0116	n/a
108	-0.0198	-0.1063	0.0459	n/a
109	0.009000000000000005	-0.1063	0.07369999999999999	n/a
110	0.02599999999999997	-0.095	0.1032	n/a
111	0.0375	-0.07269999999999999	0.123	n/a
112	0.04919999999999999	-0.04009999999999999	0.1382	n/a
113	-0.0083	-0.0917	-0.0269	n/a
114	0.01330000000000001	-0.0974	0.0056	n/a
115	0.01360000000000001	-0.1022	0.0385	n/a
116	0.04000000000000003	-0.09849999999999999	0.0746	n/a
117	0.0537	-0.08340000000000002	0.0988	n/a
118	0.06460000000000001	-0.06040000000000001	0.113	n/a
119	0.0174	-0.0837	-0.0517	n/a
120	0.01979999999999997	-0.0943	-0.0156	n/a
121	0.03889999999999999	-0.09009999999999999	0.0043	n/a
122	0.04619999999999999	-0.0946	0.03540000000000001	n/a
123	0.0679	-0.0852	0.0716	n/a
124	0.0755	-0.07090000000000001	0.0893	n/a
125	0.0468	-0.0853	-0.0115	n/a
126	0.0486	-0.0635	-0.0516	n/a
127	0.04339999999999999	0.05829999999999999	-0.0556	n/a
128	0.03539999999999999	0.0794	-0.0166	n/a
