name	x	y	z	impedance
REF	-0.02249999999999995	0.004399999999999988	0.1672	n/a
1	0.0629	-0.08250000000000002	0.0211	n/a
2	0.072	-0.0793	0.06369999999999999	n/a
3	0.07710000000000002	-0.0644	0.09500000000000002	n/a
4	0.07119999999999999	-0.04259999999999999	0.1178	n/a
5	0.0498	-0.0172	0.1422	n/a
6	0.02979999999999998	0.005299999999999996	0.1535	n/a
7	0.0003999999999999979	0.02369999999999999	0.1588	n/a
8	0.0963	-0.05859999999999999	0.04679999999999999	n/a
9	0.1022	-0.0396	0.08029999999999998	n/a
10	0.09309999999999999	-0.02499999999999999	0.1053	n/a
11	0.079	0.0051	0.1271	n/a
12	0.04730000000000001	0.02670000000000001	0.1419	n/a
13	0.02209999999999999	0.03909999999999998	0.1477	n/a
14	0.1164	-0.0202	0.0583	n/a
15	0.1103	0.0045	0.08230000000000001	n/a
16	0.09569999999999999	0.0076	0.1073	n/a
17	0.1223	0.0027	0.0391	n/a
18	0.09349999999999999	0.0364	0.102	n/a
19	0.0702	0.05470000000000001	0.1201	n/a
20	0.04079999999999999	0.06259999999999999	0.1267	n/a
21	0.1156	0.0321	0.0561	n/a
22	0.0998	0.04929999999999999	0.07780000000000001	n/a
23	0.08060000000000002	0.0662	0.09190000000000001	n/a
24	0.05860000000000001	0.07099999999999998	0.1083	n/a
25	0.1013	0.0723	0.04150000000000001	n/a
26	0.0819	0.08479999999999999	0.0592	n/a
27	0.05970000000000001	0.09	0.07960000000000002	n/a
28	0.04189999999999999	0.08579999999999999	0.1028	n/a
29	0.0196	0.07630000000000001	0.1236	n/a
30	0.003500000000000009	0.0605	0.1416	n/a
31	-0.0207	0.03470000000000002	0.1494	n/a
32	0.06900000000000001	0.08980000000000001	0.0169	n/a
33	0.04739999999999998	0.09760000000000002	0.0379	n/a
34	0.02940000000000001	0.0997	0.06880000000000001	n/a
35	0.01259999999999997	0.09560000000000003	0.0965	n/a
36	-0.00720000000000003	0.08489999999999999	0.1181	n/a
37	-0.02560000000000002	0.06140000000000002	0.1345	n/a
38	0.03779999999999999	0.09650000000000002	0.0017	n/a
39	0.01480000000000001	0.1008	0.0271	n/a
40	0.001100000000000011	0.1021	0.06069999999999999	n/a
41	-0.01450000000000003	0.09770000000000002	0.0863	n/a
42	-0.03509999999999999	0.08060000000000003	0.1047	n/a
43	0.02459999999999999	0.09199999999999999	-0.0277	n/a
44	0.0101	0.09329999999999999	-0.0068	n/a
45	-0.0189	0.0989	0.028	n/a
46	-0.0266	0.09770000000000001	0.05710000000000001	n/a
47	-0.03900000000000001	0.089	0.07919999999999999	n/a
48	0.02599999999999999	0.0822	-0.05990000000000001	n/a
49	-0.002300000000000003	0.08729999999999999	-0.03629999999999999	n/a
50	-0.04580000000000001	0.08939999999999999	0.029	n/a
51	-0.05279999999999999	0.0842	0.05929999999999999	n/a
52	-0.05550000000000001	0.0737	0.08699999999999999	n/a
53	-0.05169999999999999	0.05860000000000001	0.1156	n/a
54	-0.0488	0.03630000000000001	0.135	n/a
55	-0.03700000000000001	0.005400000000000022	0.1503	n/a
56	-0.0351	0.0776	-0.0331	n/a
57	-0.04600000000000001	0.08209999999999999	-0.0002	n/a
58	-0.06409999999999999	0.0741	0.03079999999999999	n/a
59	-0.07109999999999998	0.0653	0.0611	n/a
60	-0.07199999999999998	0.05200000000000001	0.0917	n/a
61	-0.06550000000000002	0.0339	0.1154	n/a
62	-0.07310000000000001	0.006100000000000013	0.1072	n/a
63	-0.05719999999999999	0.06560000000000001	-0.0249	n/a
64	-0.06900000000000003	0.06289999999999996	0.0004000000000000001	n/a
65	-0.07779999999999998	0.05270000000000003	0.0302	n/a
66	-0.0827	0.04699999999999997	0.06360000000000002	n/a
67	-0.08060000000000001	0.03070000000000005	0.09019999999999999	n/a
68	-0.07759999999999999	0.0398	-0.0221	n/a
69	-0.0822	0.03930000000000002	0.0008	n/a
70	-0.08979999999999999	0.02790000000000004	0.03169999999999999	n/a
71	-0.089	0.02270000000000003	0.06320000000000002	n/a
72	-0.08380000000000001	0.005200000000000004	0.0814	n/a
73	-0.0881	0.01389999999999998	-0.0199	n/a
