name	x	y	z	impedance
REF	0.02709999999999995	0.006199999999999989	0.157	n/a
1	0.0443	-0.07659999999999999	0.004700000000000001	n/a
2	0.0614	-0.07270000000000002	0.0348	n/a
3	0.0849	-0.053	0.06419999999999998	n/a
4	0.08699999999999999	-0.0367	0.08840000000000001	n/a
5	0.0789	-0.0136	0.1176	n/a
6	0.06719999999999998	0.002499999999999999	0.1335	n/a
7	0.04670000000000001	0.02380000000000001	0.1487	n/a
8	0.0969	-0.04200000000000001	0.0098	n/a
9	0.1111	-0.0265	0.03309999999999999	n/a
10	0.1129	-0.0115	0.06079999999999999	n/a
11	0.1052	0.012	0.0905	n/a
12	0.08690000000000001	0.0299	0.1143	n/a
13	0.0664	0.04250000000000002	0.1329	n/a
14	0.112	-0.005299999999999998	0.0126	n/a
15	0.118	0.0135	0.0365	n/a
16	0.1171	0.0146	0.06290000000000001	n/a
17	0.1126	0.0234	-0.001	n/a
18	0.1103	0.03509999999999999	0.0644	n/a
19	0.09819999999999998	0.05249999999999998	0.0907	n/a
20	0.08319999999999997	0.06719999999999998	0.1083	n/a
21	0.1172	0.0438	0.0156	n/a
22	0.1147	0.0649	0.0413	n/a
23	0.1028	0.07770000000000001	0.06510000000000001	n/a
24	0.08359999999999999	0.07770000000000001	0.08450000000000001	n/a
25	0.09549999999999999	0.08740000000000002	0.0176	n/a
26	0.08209999999999998	0.09859999999999995	0.03950000000000001	n/a
27	0.0757	0.09810000000000002	0.0707	n/a
28	0.06560000000000002	0.09030000000000002	0.09470000000000001	n/a
29	0.0589	0.08079999999999998	0.1179	n/a
30	0.0488	0.0626	0.1349	n/a
31	0.0332	0.03710000000000002	0.1484	n/a
32	0.0564	0.1091	0.0103	n/a
33	0.04920000000000001	0.1092	0.03819999999999998	n/a
34	0.04829999999999999	0.1081	0.07190000000000002	n/a
35	0.04069999999999999	0.09859999999999998	0.1002	n/a
36	0.03370000000000001	0.08430000000000003	0.1226	n/a
37	0.02000000000000001	0.05820000000000001	0.1421	n/a
38	0.03470000000000002	0.114	0.008699999999999999	n/a
39	0.01880000000000001	0.1111	0.0418	n/a
40	0.01890000000000002	0.1071	0.07439999999999998	n/a
41	0.01370000000000001	0.1029	0.1057	n/a
42	0.005899999999999998	0.0863	0.1234	n/a
43	0.01510000000000001	0.1139	-0.0081	n/a
44	0.01260000000000001	0.1105	0.009700000000000002	n/a
45	-0.008600000000000045	0.1053	0.0482	n/a
46	-0.003300000000000031	0.104	0.07969999999999998	n/a
47	-0.00630000000000002	0.09549999999999999	0.1034	n/a
48	0.009500000000000015	0.1138	-0.04089999999999999	n/a
49	-0.01310000000000001	0.1069	-0.0143	n/a
50	-0.02730000000000001	0.0949	0.0576	n/a
51	-0.0258	0.08990000000000001	0.0885	n/a
52	-0.0207	0.0788	0.1155	n/a
53	-0.008399999999999994	0.0599	0.1362	n/a
54	0.003000000000000012	0.03730000000000001	0.1475	n/a
55	0.0206	0.01	0.1503	n/a
56	-0.04119999999999998	0.0922	0.0009999999999999998	n/a
57	-0.03880000000000002	0.09030000000000001	0.0342	n/a
58	-0.04360000000000002	0.07999999999999999	0.06460000000000001	n/a
59	-0.04230000000000001	0.06930000000000003	0.09439999999999998	n/a
60	-0.03240000000000001	0.0532	0.1179	n/a
61	-0.01800000000000001	0.03309999999999998	0.1358	n/a
62	-0.02550000000000001	0.005999999999999984	0.13	n/a
63	-0.05930000000000001	0.07519999999999999	0.007900000000000003	n/a
64	-0.0599	0.0717	0.0381	n/a
65	-0.05559999999999999	0.05890000000000002	0.06660000000000001	n/a
66	-0.04890000000000001	0.04770000000000001	0.09660000000000001	n/a
67	-0.0386	0.02640000000000003	0.118	n/a
68	-0.07510000000000001	0.0546	0.0118	n/a
69	-0.07200000000000001	0.04880000000000001	0.0388	n/a
70	-0.06459999999999999	0.03180000000000003	0.0679	n/a
71	-0.05329999999999999	0.019	0.0951	n/a
72	-0.04139999999999997	0.004300000000000015	0.1099	n/a
73	-0.0795	0.03269999999999999	0.0112	n/a
74	-0.07580000000000001	0.0201	0.0401	n/a
75	-0.06320000000000001	0.004000000000000016	0.0684	n/a
76	-0.0494	-0.01199999999999999	0.09239999999999998	n/a
77	-0.03	-0.01679999999999999	0.1134	n/a
78	-0.007099999999999999	-0.01939999999999999	0.1307	n/a
79	0.0135	-0.0174	0.14	n/a
80	0.04349999999999999	-0.008399999999999998	0.1424	n/a
81	-0.0798	0.01110000000000002	0.0115	n/a
82	-0.07340000000000001	-0.008600000000000005	0.0335	n/a
83	-0.05810000000000001	-0.02390000000000002	0.0604	n/a
84	-0.03719999999999999	-0.0373	0.08630000000000002	n/a
85	-0.0159	-0.04080000000000001	0.1076	n/a
86	0.00889999999999999	-0.03929999999999996	0.1229	n/a
87	0.03969999999999999	-0.034	0.1278	n/a
88	-0.07240000000000001	-0.0121	0.006000000000000001	n/a
89	-0.05959999999999999	-0.03350000000000001	0.02790000000000001	n/a
90	-0.0421	-0.04469999999999999	0.05300000000000001	n/a
91	-0.02420000000000002	-0.05349999999999999	0.0804	n/a
92	-0.002100000000000009	-0.06079999999999999	0.0983	n/a
93	0.0268	-0.05910000000000001	0.1082	n/a
94	-0.06180000000000001	-0.03559999999999999	0.0002999999999999999	n/a
95	-0.043	-0.05530000000000002	0.0245	n/a
96	-0.02920000000000003	-0.0619	0.0487	n/a
97	-0.006300000000000027	-0.06890000000000002	0.07099999999999999	n/a
98	0.01729999999999999	-0.06710000000000001	0.08589999999999999	n/a
99	-0.04169999999999997	-0.04790000000000002	-0.0097	n/a
100	-0.01480000000000001	-0.06010000000000001	0.0161	n/a
101	-0.005100000000000015	-0.0663	0.0395	n/a
102	0.02010000000000001	-0.0735	0.06009999999999999	n/a
103	0.0397	-0.06930000000000001	0.0828	n/a
104	0.0519	-0.05220000000000002	0.1074	n/a
105	0.0598	-0.0301	0.1229	n/a
106	0.0682	0.007000000000000002	0.1367	n/a
107	-0.01390000000000001	-0.05380000000000001	-0.0186	n/a
108	0.01970000000000002	-0.06419999999999999	0.0256	n/a
109	0.04630000000000001	-0.06770000000000001	0.05240000000000001	n/a
110	0.06560000000000001	-0.0569	0.0781	n/a
111	0.07540000000000001	-0.03780000000000001	0.0989	n/a
112	0.07900000000000002	-0.009500000000000002	0.119	n/a
113	0.01689999999999999	-0.05269999999999999	-0.0357	n/a
114	0.0424	-0.05379999999999999	-0.0142	n/a
115	0.0464	-0.0612	0.016	n/a
116	0.07419999999999999	-0.0541	0.0459	n/a
117	0.08790000000000001	-0.0396	0.07240000000000002	n/a
118	0.0945	-0.0229	0.0912	n/a
119	0.03490000000000001	-0.04990000000000001	-0.06460000000000001	n/a
120	0.0448	-0.05259999999999999	-0.03630000000000001	n/a
121	0.0641	-0.0489	-0.0195	n/a
122	0.0755	-0.04739999999999999	0.0151	n/a
123	0.09569999999999999	-0.0367	0.0477	n/a
124	0.1035	-0.0206	0.0692	n/a
125	0.06990000000000002	-0.0457	-0.03149999999999999	n/a
126	0.0747	-0.0275	-0.06570000000000001	n/a
127	0.05870000000000001	0.1172	-0.047	n/a
128	0.03699999999999996	0.1278	-0.008	n/a
