onset	duration	Value	Stim_file
0	316186.2500000001	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
0	0	0	n/a
