name	x	y	z	impedance
GND	0.1086	0.0107	0.07400000000000001	n/a
E1	0.07180000000000002	0.08619999999999999	0.0548	n/a
E2	0.1152	-0.0181	0.07759999999999999	n/a
E3	0.0453	0.09569999999999998	0.04019999999999999	n/a
E4	0.05870000000000001	0.09289999999999998	0.07340000000000001	n/a
E5	0.0645	0.0762	0.1088	n/a
E6	0.0692	0.05259999999999999	0.1276	n/a
E7	0.07320000000000002	0.02360000000000001	0.1421	n/a
E8	0.06979999999999997	-0.0205	0.1438	n/a
E9	0.0721	-0.0539	0.1222	n/a
E10	0.0668	-0.0775	0.1002	n/a
E11	0.05959999999999999	-0.08559999999999998	0.0707	n/a
E12	0.05309999999999999	-0.09359999999999999	0.0368	n/a
E13	-0.003300000000000003	0.09510000000000002	0.08399999999999999	n/a
E14	0.0002999999999999757	0.08459999999999998	0.1211	n/a
E15	0.003099999999999991	0.05949999999999998	0.1522	n/a
E16	0.0009999999999999998	0.01389999999999999	0.1668	n/a
E17	0.008100000000000012	-0.03330000000000002	0.1612	n/a
E18	0.008100000000000005	-0.06220000000000001	0.146	n/a
E19	0.00419999999999999	-0.0859	0.1197	n/a
E20	-0.004200000000000006	-0.09669999999999999	0.0824	n/a
E21	-0.05840000000000001	0.08690000000000001	0.0391	n/a
E22	-0.06879999999999997	0.07530000000000002	0.0556	n/a
E23	-0.0687	0.05839999999999999	0.109	n/a
E24	-0.06449999999999999	0.01770000000000004	0.1354	n/a
E25	-0.06220000000000001	-0.02500000000000001	0.1344	n/a
E26	-0.05729999999999999	-0.05330000000000001	0.103	n/a
E27	-0.05730000000000003	-0.06479999999999997	0.052	n/a
E28	-0.04709999999999998	-0.07409999999999999	0.02900000000000001	n/a
E29	0.04850000000000002	-0.006000000000000002	0.166	n/a
E30	-0.1001	0.01019999999999997	0.0694	n/a
E31	-0.0985	-0.0195	0.0673	n/a
E32	-0.0325	-0.09329999999999999	0.0284	n/a
E33	0.06610000000000001	-0.0872	0.0548	n/a
E34	0.0631	-0.08010000000000001	0.0149	n/a
E35	0.0975	0.06300000000000001	0.07959999999999998	n/a
E36	0.1012	0.0213	0.1125	n/a
E37	0.1022	-0.0251	0.1097	n/a
E38	0.0944	-0.06269999999999999	0.07859999999999999	n/a
E39	0.05769999999999999	0.0921	0.0182	n/a
E40	0.02279999999999999	0.1023	0.04399999999999999	n/a
E41	0.0293	0.0949	0.07479999999999999	n/a
E42	0.03409999999999999	0.08310000000000002	0.115	n/a
E43	0.03879999999999999	0.06249999999999999	0.1433	n/a
E44	0.04530000000000002	0.01930000000000001	0.1585	n/a
E45	0.0331	-0.03580000000000001	0.1597	n/a
E46	0.03860000000000001	-0.05200000000000001	0.1505	n/a
E47	0.03369999999999999	-0.06809999999999999	0.1234	n/a
E48	0.02749999999999999	-0.0958	0.08050000000000002	n/a
E49	0.0224	-0.098	0.04530000000000001	n/a
E50	-0.04069999999999999	0.0922	0.0549	n/a
E51	-0.03439999999999998	0.08960000000000001	0.08860000000000001	n/a
E52	-0.03619999999999999	0.07339999999999997	0.1212	n/a
E53	-0.0331	0.0512	0.151	n/a
E54	-0.0342	0.01690000000000001	0.1615	n/a
E55	-0.03299999999999998	-0.02059999999999999	0.1629	n/a
E56	-0.03210000000000002	-0.05580000000000002	0.1458	n/a
E57	-0.03170000000000003	-0.0832	0.113	n/a
E58	-0.03100000000000002	-0.09420000000000002	0.07910000000000002	n/a
E59	-0.03270000000000001	-0.09	0.0466	n/a
E60	-0.08379999999999999	0.0501	0.06429999999999998	n/a
E61	-0.08129999999999998	0.01310000000000002	0.1025	n/a
E62	-0.0822	-0.0192	0.1019	n/a
E63	-0.07919999999999998	-0.05520000000000003	0.0594	n/a
E64	-0.036	0.0934	0.0344	n/a
S1	0.1115	-0.0009000000000000001	0.0562	n/a
S2	0.097	-0.04019999999999999	0.0867	n/a
S3	0.09929999999999999	0.0361	0.08309999999999999	n/a
S4	0.0887	0.0519	0.05010000000000001	n/a
S5	0.08430000000000001	-0.0593	0.057	n/a
S6	0.0446	0.07539999999999998	0.0867	n/a
S7	0.07959999999999999	-0.0038	0.1259	n/a
S8	0.076	-0.05829999999999999	0.1005	n/a
S9	0.0769	0.0492	0.1004	n/a
S10	0.05049999999999998	0.02899999999999998	0.1414	n/a
S11	0.007200000000000002	0.0915	0.06419999999999998	n/a
S12	0.0152	0.0667	0.1307	n/a
S13	0.01799999999999995	-0.00409999999999999	0.161	n/a
S14	-0.0205	0.07890000000000001	0.103	n/a
S15	-0.01590000000000002	0.02850000000000001	0.157	n/a
S16	-0.04970000000000002	0.04560000000000001	0.1247	n/a
S17	0.04610000000000001	-0.04730000000000001	0.1405	n/a
S18	0.03849999999999999	-0.08790000000000001	0.08960000000000001	n/a
S19	0.00690000000000001	-0.07690000000000001	0.1281	n/a
S20	0.002699999999999996	-0.0987	0.05880000000000001	n/a
S21	-0.0163	-0.04839999999999999	0.1483	n/a
S22	-0.0222	-0.094	0.092	n/a
S23	-0.05050000000000002	-0.061	0.1218	n/a
S24	-0.0493	-0.009700000000000009	0.1405	n/a
S25	-0.047	0.0665	0.06809999999999997	n/a
S26	-0.06820000000000001	0.04979999999999999	0.07530000000000001	n/a
S27	-0.08160000000000001	0.02620000000000001	0.03879999999999999	n/a
S28	-0.08640000000000001	-0.01119999999999999	0.0804	n/a
S29	-0.06720000000000001	-0.06539999999999999	0.07000000000000001	n/a
S30	-0.0418	-0.0813	0.06230000000000002	n/a
S31	-0.079	-0.03660000000000002	0.0361	n/a
S32	0.08329999999999999	-0.2081	0.08989999999999999	n/a
D1	0.1078	0.0222	0.0477	n/a
D2	0.1031	-0.0439	0.0479	n/a
D3	0.1032	-0.0135	0.08909999999999999	n/a
D4	0.07439999999999998	0.0593	0.07390000000000001	n/a
D5	0.0784	0.0186	0.1129	n/a
D6	0.0746	-0.0441	0.1163	n/a
D7	0.06979999999999999	-0.07869999999999999	0.07209999999999998	n/a
D8	0.0405	0.0771	0.05489999999999999	n/a
D9	0.04979999999999999	0.05269999999999999	0.1149	n/a
D10	0.04430000000000001	-0.07349999999999998	0.1166	n/a
D11	0.03340000000000001	-0.0956	0.0544	n/a
D12	0.01529999999999998	0.0769	0.09329999999999999	n/a
D13	0.0192	0.0245	0.1505	n/a
D14	0.017	-0.05159999999999999	0.145	n/a
D15	0.0112	-0.0936	0.09520000000000002	n/a
D16	-0.02189999999999999	0.0798	0.06379999999999998	n/a
D17	-0.01320000000000001	0.05330000000000003	0.1275	n/a
D18	-0.0188	-0.07409999999999999	0.1268	n/a
D19	-0.02199999999999999	-0.08940000000000001	0.06430000000000001	n/a
D20	-0.04639999999999999	0.06009999999999999	0.0956	n/a
D21	-0.04000000000000004	0.02250000000000003	0.1357	n/a
D22	-0.04000000000000004	-0.03180000000000002	0.1408	n/a
D23	-0.04200000000000001	-0.0784	0.0885	n/a
D24	-0.01709999999999999	-0.0103	0.1626	n/a
D25	-0.06839999999999999	-0.01269999999999998	0.1158	n/a
D26	-0.06970000000000003	0.02349999999999999	0.1045	n/a
D27	-0.0677	-0.04780000000000002	0.1066	n/a
D28	-0.07999999999999997	0.04770000000000005	0.0434	n/a
D29	-0.0796	0.02440000000000004	0.07950000000000002	n/a
D30	-0.07829999999999998	-0.0371	0.079	n/a
D31	-0.06210000000000002	-0.06109999999999999	0.0355	n/a
D32	-0.0838	-0.006800000000000007	0.0417	n/a
